OP Uniek Nr Id ,LNO Uniek Nr ,PAP Id,PAP Omschrijving,PAP ACT Code,PAP ACT Omschrijving,PAP PLA Code,PAP PLA Omschrijving,PAP PRD Code,PAP PRD Omschrijving,TYP ERK Erkenning code,TYP ERK omschrijving,TYP ERK Erkenning vorm Omschrijving,TYP ERK Erkenning Vorm Code,PC Postcode ,GEM Naam ,PR Naam ,ERK Nummer ,ERK Begindatum ,Datum vandaag
9005477603,5477602,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2650.0,Edegem,Antwerpen,,2023/02/01 00:00:00,2026/08/24 04:13:33
9003689534,3689533,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,5020.0,Suarlée,Namen,,2007/01/15 00:00:00,2026/08/24 04:13:33
9005312918,5312917,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9100.0,Nieuwkerken-Waas,Oost-Vlaanderen,,2020/01/01 00:00:00,2026/08/24 04:13:33
9005348633,4975411,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1160.0,Oudergem,Brussels Hoofdstedelijk Gewest,,2021/04/21 00:00:00,2026/08/24 04:13:33
9004935472,4935471,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2200.0,Herentals,Antwerpen,,2015/07/01 00:00:00,2026/08/24 04:13:33
9005519353,5519352,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3040.0,Huldenberg,Vlaams Brabant,,2023/07/01 00:00:00,2026/08/24 04:13:33
9004361303,4361302,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1460.0,Ittre,Waals Brabant,,2010/02/08 00:00:00,2026/08/24 04:13:33
9005235527,5235526,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,8610.0,Kortemark,West-Vlaanderen,,2019/09/01 00:00:00,2026/08/24 04:13:33
2266607413,679704041,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6941.0,Durbuy,Luxemburg,,2017/10/18 00:00:00,2026/08/24 04:13:33
9005502136,751624789,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1160.0,Oudergem,Brussels Hoofdstedelijk Gewest,,2023/05/17 00:00:00,2026/08/24 04:13:33
9005589489,5589488,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,5620.0,Corenne,Namen,,2024/07/22 00:00:00,2026/08/24 04:13:33
9004718038,4718037,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9680.0,Maarke-Kerkem,Oost-Vlaanderen,,2012/06/01 00:00:00,2026/08/24 04:13:33
9006500952,6500951,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6830.0,Bouillon,Luxemburg,,2024/09/09 00:00:00,2026/08/24 04:13:33
9003692770,3692765,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3670.0,Oudsbergen,Limburg,,2007/01/29 00:00:00,2026/08/24 04:13:33
9006524739,4961216,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6663.0,Houffalize,Luxemburg,,2025/06/10 00:00:00,2026/08/24 04:13:33
9005029190,5029189,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3202.0,Rillaar,Vlaams Brabant,,2017/02/01 00:00:00,2026/08/24 04:13:33
9004519952,4519951,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1400.0,Nivelles,Waals Brabant,,2010/07/02 00:00:00,2026/08/24 04:13:33
9004891253,4891252,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1380.0,Maransart,Waals Brabant,,2015/06/18 00:00:00,2026/08/24 04:13:33
9005121215,5121214,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2150.0,Borsbeek (Antw.),Antwerpen,,2017/12/16 00:00:00,2026/08/24 04:13:33
9004839213,4839212,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,4257.0,Berloz,Luik,,2022/05/01 00:00:00,2026/08/24 04:13:33
9005192086,5192085,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1410.0,Waterloo,Waals Brabant,,2019/04/17 00:00:00,2026/08/24 04:13:33
2192577211,830407397,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3473.0,Kortenaken,Vlaams Brabant,,2026/07/01 00:00:00,2026/08/24 04:13:33
9006547790,800095293,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,4910.0,Theux,Luik,,2026/02/09 00:00:00,2026/08/24 04:13:33
9005513357,5513356,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2350.0,Vosselaar,Antwerpen,,2023/07/01 00:00:00,2026/08/24 04:13:33
9006525059,6525055,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1653.0,Beersel,Vlaams Brabant,,2025/06/12 00:00:00,2026/08/24 04:13:33
9005571342,5571341,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1390.0,Grez-Doiceau,Waals Brabant,,2024/04/14 00:00:00,2026/08/24 04:13:33
9006524232,6524231,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2480.0,Dessel,Antwerpen,,2025/06/04 00:00:00,2026/08/24 04:13:33
2224144078,810807360,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,5020.0,Namur,Namen,,2022/04/19 00:00:00,2026/08/24 04:13:33
9003699774,3699773,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,8880.0,Sint-Eloois-Winkel,West-Vlaanderen,,2007/02/27 00:00:00,2026/08/24 04:13:33
9005567421,5567411,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6887.0,Herbeumont,Luxemburg,,2024/04/02 00:00:00,2026/08/24 04:13:33
9004377369,4377368,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3690.0,Zutendaal,Limburg,,2009/04/14 00:00:00,2026/08/24 04:13:33
9006561185,6561184,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,5020.0,Namur,Namen,,2026/05/29 00:00:00,2026/08/24 04:13:33
9004974407,4974406,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3090.0,Overijse,Vlaams Brabant,,2016/05/01 00:00:00,2026/08/24 04:13:33
2323922139,776771644,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1760.0,Roosdaal,Vlaams Brabant,,2023/01/01 00:00:00,2026/08/24 04:13:33
9006539886,6539885,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,8200.0,Brugge,West-Vlaanderen,,2025/11/12 00:00:00,2026/08/24 04:13:33
9006536324,6536317,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3071.0,Kortenberg,Vlaams Brabant,,2025/10/06 00:00:00,2026/08/24 04:13:33
9005107029,5107028,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2930.0,Brasschaat,Antwerpen,,2018/02/14 00:00:00,2026/08/24 04:13:33
9005192525,5192524,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2350.0,Vosselaar,Antwerpen,,2019/04/24 00:00:00,2026/08/24 04:13:33
9004836155,4836154,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1380.0,Lasne,Waals Brabant,,2014/06/26 00:00:00,2026/08/24 04:13:33
9006552719,6552718,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,5336.0,Assesse,Namen,,2026/03/18 00:00:00,2026/08/24 04:13:33
9006535663,6535662,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2222.0,Heist-op-den-Berg,Antwerpen,,2025/10/03 00:00:00,2026/08/24 04:13:33
9004995878,4995877,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,3090.0,Overijse,Vlaams Brabant,,2016/07/01 00:00:00,2026/08/24 04:13:33
9005534046,4838400,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1200.0,Sint-Lambrechts-Woluwe,Brussels Hoofdstedelijk Gewest,,2023/10/19 00:00:00,2026/08/24 04:13:33
